skos:Scheme,ID,rdf:type (skos:),dct:source ,skos:broader,skos:broader name,skos:note @en,skos:scopeNote @en,skos:prefLabel @de,skos:altLabel @de,skos:altLabel @de,skos:prefLabel @en,skos:altLabel @en,skos:altLabel @en,skos:altLabel @en,external concept (wikidata),type of match (wikidata),external concept (chronontology),type of match (chronontology),external concept (getty),type of match (getty)
kulturepoche,134,Concept,OeAI,101,aegyptisch,,The divisions of the Egyptian periods do not perfectly align with the beginning and end of the dynasties.,3. Zwischenzeit,,,Third Intermediate Period,,,,,,https://chronontology.dainst.org/period/3XPgYqqSJPoR,skos:exactMatch,,
kulturepoche,135,Concept,OeAI,101,aegyptisch,,The divisions of the Egyptian periods do not perfectly align with the beginning and end of the dynasties.,Altes Reich,,,Old Kingdom,,,,,,https://chronontology.dainst.org/period/kn2zrUYdWAe8,skos:exactMatch,,
kulturepoche,136,Concept,OeAI,101,aegyptisch,,The divisions of the Egyptian periods do not perfectly align with the beginning and end of the dynasties.,Frühzeit,,,Early Dynastic Period,Archaic,Thinite Period,,,,https://chronontology.dainst.org/period/bJXq0VVqpm2h,skos:exactMatch,,
kulturepoche,137,Concept,OeAI,101,aegyptisch,,The Middle Kingdom begins about halfway through the 11th Dynasty. The divisions of the Egyptian periods do not perfectly align with the beginning and end of the dynasties. ,Mittleres Reich,,,Middle Kingdom,,,,,,https://chronontology.dainst.org/period/876a7NVQZkH9,skos:exactMatch,,
kulturepoche,138,Concept,OeAI,101,aegyptisch,,The divisions of the Egyptian periods do not perfectly align with the beginning and end of the dynasties.,Neues Reich,,,New Kingdom,,,,,,https://chronontology.dainst.org/period/4DkjOuob3b7w,skos:exactMatch,,
kulturepoche,139,Concept,OeAI,101,aegyptisch,,The divisions of the Egyptian periods do not perfectly align with the beginning and end of the dynasties.,ptolemäische Zeit,ptolemaeische Zeit,,Ptolemaic Period,,,,,,https://chronontology.dainst.org/period/PKmoBh79izYT,skos:exactMatch,,
kulturepoche,140,Concept,OeAI,101,aegyptisch,,The divisions of the Egyptian periods do not perfectly align with the beginning and end of the dynasties.,Spätzeit,,,Late Period,,,,https://www.wikidata.org/wiki/Q621917,skos:exactMatch,,,,
kulturepoche,141,Concept,OeAI,101,aegyptisch,,,Vorgeschichte,,,Prehistory,,,,,,,,,
kulturepoche,142,Concept,OeAI,103,byzantinisch,,,frühbyzantinisch,,,Early Byzantine,,,,,,https://chronontology.dainst.org/period/EliRdMbzrRLJ,skos:exactMatch,,
kulturepoche,143,Concept,OeAI,103,byzantinisch,,,mittelbyzantinisch,,,Middle Byzantine,,,,,,https://chronontology.dainst.org/period/CLpWAMh5aUgH,skos:exactMatch,,
kulturepoche,144,Concept,OeAI,103,byzantinisch,,,spätbyzantinisch,,,Late Byzantine,,,,,,https://chronontology.dainst.org/period/rL37RWstkEFe,skos:exactMatch,,
kulturepoche,145,Concept,OeAI,108,griechisch,,,archaisch,,,Archaic,,,,,,https://chronontology.dainst.org/period/LBnJ3GkRUjSy,skos:exactMatch,,
kulturepoche,146,Concept,OeAI,108,griechisch,,,geometrisch,,,Geometric,,,,,,https://chronontology.dainst.org/period/AqUgeWHp0xIl,skos:exactMatch,,
kulturepoche,147,Concept,OeAI,108,griechisch,,,hellenistisch,,,Hellenistic,,,,,,https://chronontology.dainst.org/period/V9dy8McSgA2Y,skos:exactMatch,,
kulturepoche,148,Concept,OeAI,108,griechisch,,,klassisch,,,Classical,,,,,,https://chronontology.dainst.org/period/lgmcrzRuu418,skos:exactMatch,,
kulturepoche,149,Concept,OeAI,112,helladisch,,,frühhelladisch,,,Early Helladic,,,,,,https://chronontology.dainst.org/period/AYeqXxXF339o,skos:exactMatch,,
kulturepoche,150,Concept,OeAI,112,helladisch,,,mittelhelladisch,,,Middle Helladic,,,,,,https://chronontology.dainst.org/period/ROkpsNEzFjOm,skos:exactMatch,,
kulturepoche,151,Concept,OeAI,112,helladisch,,,späthelladisch,,,Late Helladic,,,,,,https://chronontology.dainst.org/period/aGXu2saj2dYX,skos:exactMatch,,
kulturepoche,152,Concept,OeAI,113,hethitisch,,,frühhethitisch,,,Old Hittite,,,,,,https://chronontology.dainst.org/period/Ielmwklxtvt1,skos:exactMatch,,
kulturepoche,153,Concept,OeAI,113,hethitisch,,,mittelhethitisch,,,Middle Hittite,,,,,,https://chronontology.dainst.org/period/Wv5o2s6PWOlH,skos:exactMatch,,
kulturepoche,154,Concept,OeAI,113,hethitisch,,,späthethitisch,,,Late Hittite,,,,,,,,,
kulturepoche,155,Concept,OeAI,114,iranisch,,,achämenidisch,achaemenidisch,,Achaemenid,Achemenid,,,,,https://chronontology.dainst.org/period/vpg0DvwPQxyc,skos:exactMatch,,
kulturepoche,156,Concept,OeAI,114,iranisch,,,arsakidisch,parthisch,,Parthian,,,,,,https://chronontology.dainst.org/period/cPkKW4krup3D,skos:exactMatch,,
kulturepoche,157,Concept,OeAI,114,iranisch,,,medisch,,,Median,,,,,,https://chronontology.dainst.org/period/CPnAH7wcZdIp,skos:exactMatch,,
kulturepoche,158,Concept,OeAI,114,iranisch,,,protoiranisch,,,Proto-Iranian,,,,,,,,,
kulturepoche,159,Concept,OeAI,114,iranisch,,,sassanidisch,,,Sassanid,Sasanid,,,,,https://chronontology.dainst.org/period/prX4hmZMs0yp,skos:exactMatch,,
kulturepoche,160,Concept,OeAI,116,italisch,,,apulisch,,,Apulian,,,,,,https://chronontology.dainst.org/period/RzbGVFodlQ5Z,skos:exactMatch,,
kulturepoche,161,Concept,OeAI,116,italisch,,,campanisch,,,Campanian,,,,,,https://chronontology.dainst.org/period/KzRNJP4WR6PS,skos:exactMatch,,
kulturepoche,162,Concept,OeAI,116,italisch,,,italo-geometrisch,,,Italo-Geometric,,,,,,,,,
kulturepoche,163,Concept,OeAI,116,italisch,,,latinisch,,,Latin,,,,,,,,,
kulturepoche,164,Concept,OeAI,116,italisch,,,ligurisch,,,Ligurian,,,,,,https://chronontology.dainst.org/period/qxRTvWeeS4mT,skos:exactMatch,,
kulturepoche,165,Concept,OeAI,116,italisch,,,oskisch,,,Oscan,,,,,,,,,
kulturepoche,166,Concept,OeAI,116,italisch,,,picenisch,,,Picentine,,,,,,,,,
